Comparing "summit_gnu_cmake_128node_6ppn_6gpn_box-s2v96w64x1120y32z24_s2v4w32x1y1z3_bk1_cuth-pop-20200624-ht/20200716_171649/stdout.txt.xz" and "summit_gnu_gmake_128node_42ppn_0gpn_box-s2v96w64x1120y32z24_s2v4w32x7y1z3_bk0_master-202006pop-ht/20200715_165112/stdout.txt.xz"
Name                             # Calls             Time              % t_loop       % parent    
GENE                                   1       1    848.20  1723.34    593.5   636.3    0.0   0.0
  gsub                                 1       1    848.19  1723.28    593.5   636.3  100.0 100.0
    autopar                            1       1      4.10   770.26      2.9   284.4    0.5  44.7
      RK_standard                      0      24      0.00    65.94      0.0    24.3    0.0   8.6
        CalFRhs0                       0      96      0.00    41.60      0.0    15.4    0.0  63.1
          add_nl                       0    4608      0.00    23.80      0.0     8.8    0.0  57.2
            calc_nl                    0    4608      0.00    22.61      0.0     8.3    0.0  95.0
              mult_pre                 0    4608      0.00     0.53      0.0     0.2    0.0   2.3
              omultmax                 0    9216      0.00     0.33      0.0     0.1    0.0   1.4
          dApardt                      0    4608      0.00     0.00      0.0     0.0    0.0   0.0
          dchidxy                      0    4608      0.00     2.53      0.0     0.9    0.0   6.1
          dfdxy_h                      0    4608      0.00     2.00      0.0     0.7    0.0   4.8
          dgdxy                        0    4608      0.00     2.87      0.0     1.1    0.0   6.9
          dzv_ak                       0    4608      0.00     5.25      0.0     1.9    0.0  12.6
          fdi_fld                      0    4608      0.00     0.00      0.0     0.0    0.0   0.0
          fdi_g                        0    4608      0.00     0.00      0.0     0.0    0.0   0.0
          fdi_h                        0    4608      0.00     0.00      0.0     0.0    0.0   0.0
          ffld_nl                      0    4608      0.00     0.00      0.0     0.0    0.0   0.0
          fg_nl                        0    4608      0.00     0.00      0.0     0.0    0.0   0.0
          hypz_cmp                     0    4608      0.00     1.81      0.0     0.7    0.0   4.4
          kBuffer                      0    4608      0.00     0.45      0.0     0.2    0.0   1.1
          pfld_nl                      0    4608      0.00     0.00      0.0     0.0    0.0   0.0
          pr_fld                       0      96      0.00     0.00      0.0     0.0    0.0   0.0
          pr_g                         0      96      0.00     0.00      0.0     0.0    0.0   0.0
          pr_hf                        0      96      0.00     0.00      0.0     0.0    0.0   0.0
          prdi_fld                     0    4608      0.00     1.17      0.0     0.4    0.0   2.8
