Comparing "summit_gnu_cmake_32node_6ppn_6gpn_box-s2v96w32x560y32z24_s2v4w8x1y1z3_bk1_cuth-pop-20200624-ht/20200715_161030/stdout.txt.xz" and "summit_gnu_gmake_32node_42ppn_0gpn_box-s2v96w32x560y32z24_s2v4w8x7y1z3_bk0_master-202006pop-ht2/20200731_143800/stdout.txt.xz"
Name                             # Calls             Time              % t_loop       % parent    
GENE                                   1       1    616.63  1605.61   2059.6   629.6    0.0   0.0
  gsub                                 1       1    616.60  1605.61   2059.5   629.6  100.0 100.0
    autopar                            1       1      3.55   679.24     11.9   266.4    0.6  42.3
      RK_standard                      0      24      0.00    61.11      0.0    24.0    0.0   9.0
        CalFRhs0                       0      96      0.00    41.12      0.0    16.1    0.0  67.3
          add_nl                       0    2304      0.00    22.91      0.0     9.0    0.0  55.7
            calc_nl                    0    2304      0.00    22.43      0.0     8.8    0.0  97.9
              mult_pre                 0    2304      0.00     0.76      0.0     0.3    0.0   3.4
              omultmax                 0   18432      0.00     0.31      0.0     0.1    0.0   1.4
          dApardt                      0    2304      0.00     0.00      0.0     0.0    0.0   0.0
          dchidxy                      0    2304      0.00     2.57      0.0     1.0    0.0   6.3
          dfdxy_h                      0    2304      0.00     2.06      0.0     0.8    0.0   5.0
          dgdxy                        0    2304      0.00     3.16      0.0     1.2    0.0   7.7
          dzv_ak                       0    2304      0.00     4.75      0.0     1.9    0.0  11.6
          fdi_fld                      0    2304      0.00     0.00      0.0     0.0    0.0   0.0
          fdi_g                        0    2304      0.00     0.00      0.0     0.0    0.0   0.0
          fdi_h                        0    2304      0.00     0.00      0.0     0.0    0.0   0.0
          ffld_nl                      0    2304      0.00     0.00      0.0     0.0    0.0   0.0
          fg_nl                        0    2304      0.00     0.00      0.0     0.0    0.0   0.0
          hypz_cmp                     0    2304      0.00     1.79      0.0     0.7    0.0   4.3
          kBuffer                      0    2304      0.00     0.50      0.0     0.2    0.0   1.2
          pfld_nl                      0    2304      0.00     0.00      0.0     0.0    0.0   0.0
          pr_fld                       0      96      0.00     0.00      0.0     0.0    0.0   0.0
          pr_g                         0      96      0.00     0.00      0.0     0.0    0.0   0.0
