Comparing "summit_gnu_cmake_256node_6ppn_6gpn_box-s2v96w64x1120y32z48_s2v4w32x1y1z6_bk1_cuth-pop-20200624-ht/20200716_155921/stdout.txt.xz" and "summit_gnu_gmake_256node_42ppn_0gpn_box-s2v96w64x1120y32z48_s2v4w32x7y1z6_bk0_master-202006pop-ht/20200716_102254/stdout.txt.xz"
Name                             # Calls             Time              % t_loop       % parent    
GENE                                   1       1    885.37  1806.52    530.4   643.9    0.0   0.0
  gsub                                 1       1    885.32  1806.47    530.4   643.8  100.0 100.0
    autopar                            1       1      4.18   780.12      2.5   278.0    0.5  43.2
      RK_standard                      0      24      0.00    67.54      0.0    24.1    0.0   8.7
        CalFRhs0                       0      96      0.00    41.56      0.0    14.8    0.0  61.5
          add_nl                       0    4608      0.00    23.71      0.0     8.5    0.0  57.1
            calc_nl                    0    4608      0.00    22.50      0.0     8.0    0.0  94.9
              mult_pre                 0    4608      0.00     0.58      0.0     0.2    0.0   2.6
              omultmax                 0    9216      0.00     0.33      0.0     0.1    0.0   1.5
          dApardt                      0    4608      0.00     0.00      0.0     0.0    0.0   0.0
          dchidxy                      0    4608      0.00     2.53      0.0     0.9    0.0   6.1
          dfdxy_h                      0    4608      0.00     2.01      0.0     0.7    0.0   4.8
          dgdxy                        0    4608      0.00     2.79      0.0     1.0    0.0   6.7
          dzv_ak                       0    4608      0.00     5.33      0.0     1.9    0.0  12.8
          fdi_fld                      0    4608      0.00     0.00      0.0     0.0    0.0   0.0
          fdi_g                        0    4608      0.00     0.00      0.0     0.0    0.0   0.0
          fdi_h                        0    4608      0.00     0.00      0.0     0.0    0.0   0.0
          ffld_nl                      0    4608      0.00     0.00      0.0     0.0    0.0   0.0
          fg_nl                        0    4608      0.00     0.00      0.0     0.0    0.0   0.0
          hypz_cmp                     0    4608      0.00     1.84      0.0     0.7    0.0   4.4
          kBuffer                      0    4608      0.00     0.44      0.0     0.2    0.0   1.1
          pfld_nl                      0    4608      0.00     0.00      0.0     0.0    0.0   0.0
          pr_fld                       0      96      0.00     0.00      0.0     0.0    0.0   0.0
          pr_g                         0      96      0.00     0.00      0.0     0.0    0.0   0.0
          pr_hf                        0      96      0.00     0.00      0.0     0.0    0.0   0.0
          prdi_fld                     0    4608      0.00     1.21      0.0     0.4    0.0   2.9
            ex_x                       0    4608      0.00     0.13      0.0     0.0    0.0  10.4
              ex_gen                   0    4608      0.00     0.12      0.0     0.0    0.0  91.3
          prdi_g                       0    4608      0.00     0.84      0.0     0.3    0.0   2.0
            blex_g                     0    4608      0.00     0.84      0.0     0.3    0.0  99.6
              ex_x                     0    4608      0.00     0.12      0.0     0.0    0.0  14.8
                ex_gen                 0    4608      0.00     0.11      0.0     0.0    0.0  89.5
          prdi_h                       0    4608      0.00     0.82      0.0     0.3    0.0   2.0
