Comparing "summit_gnu_cmake_512node_6ppn_6gpn_box-s2v96w128x1120y32z48_s2v4w64x1y1z6_bk1_cuth-pop-20200624-ht2/20200803_161319/stdout.txt.xz" and "summit_gnu_gmake_512node_42ppn_0gpn_box-s2v96w128x1120y32z48_s2v4w64x7y1z6_bk0_master-202006pop-ht2/20200803_160710/stdout.txt.xz"
Name                             # Calls             Time              % t_loop       % parent    
GENE                                   1       1    830.76  2038.94   1103.6   710.5    0.0   0.0
  gsub                                 1       1    830.76  2038.91   1103.6   710.5  100.0 100.0
    autopar                            1       1      4.52   978.20      6.0   340.9    0.5  48.0
      RK_standard                      0      24      0.00    68.02      0.0    23.7    0.0   7.0
        CalFRhs0                       0      96      0.00    42.18      0.0    14.7    0.0  62.0
          add_nl                       0    4608      0.00    24.04      0.0     8.4    0.0  57.0
            calc_nl                    0    4608      0.00    22.40      0.0     7.8    0.0  93.2
              mult_pre                 0    4608      0.00     0.45      0.0     0.2    0.0   2.0
              omultmax                 0    9216      0.00     0.32      0.0     0.1    0.0   1.4
          dApardt                      0    4608      0.00     0.00      0.0     0.0    0.0   0.0
          dchidxy                      0    4608      0.00     2.51      0.0     0.9    0.0   5.9
          dfdxy_h                      0    4608      0.00     2.24      0.0     0.8    0.0   5.3
          dgdxy                        0    4608      0.00     3.03      0.0     1.1    0.0   7.2
          dzv_ak                       0    4608      0.00     5.32      0.0     1.9    0.0  12.6
          fdi_fld                      0    4608      0.00     0.00      0.0     0.0    0.0   0.0
          fdi_g                        0    4608      0.00     0.00      0.0     0.0    0.0   0.0
          fdi_h                        0    4608      0.00     0.00      0.0     0.0    0.0   0.0
          ffld_nl                      0    4608      0.00     0.00      0.0     0.0    0.0   0.0
          fg_nl                        0    4608      0.00     0.00      0.0     0.0    0.0   0.0
          hypz_cmp                     0    4608      0.00     1.85      0.0     0.6    0.0   4.4
          kBuffer                      0    4608      0.00     0.45      0.0     0.2    0.0   1.1
          pfld_nl                      0    4608      0.00     0.00      0.0     0.0    0.0   0.0
          pr_fld                       0      96      0.00     0.00      0.0     0.0    0.0   0.0
          pr_g                         0      96      0.00     0.00      0.0     0.0    0.0   0.0
          pr_hf                        0      96      0.00     0.00      0.0     0.0    0.0   0.0
          prdi_fld                     0    4608      0.00     1.16      0.0     0.4    0.0   2.8
            ex_x                       0    4608      0.00     0.27      0.0     0.1    0.0  22.9
              ex_gen                   0    4608      0.00     0.26      0.0     0.1    0.0  98.9
          prdi_g                       0    4608      0.00     0.88      0.0     0.3    0.0   2.1
            blex_g                     0    4608      0.00     0.88      0.0     0.3    0.0  99.8
              ex_x                     0    4608      0.00     0.24      0.0     0.1    0.0  27.1
                ex_gen                 0    4608      0.00     0.24      0.0     0.1    0.0  99.2
          prdi_h                       0    4608      0.00     0.67      0.0     0.2    0.0   1.6
            blex_g                     0    4608      0.00     0.66      0.0     0.2    0.0  99.7
              ex_x                     0    4608      0.00     0.15      0.0     0.1    0.0  23.0
                ex_gen                 0    4608      0.00     0.15      0.0     0.1    0.0  98.0
          prg_nl                       0    4608      0.00     0.00      0.0     0.0    0.0   0.0
        calcaux                        0      96      0.00    22.70      0.0     7.9    0.0  33.4
          bar_emf                      0      96      0.00     1.59      0.0     0.6    0.0   7.0
            exz                        0     192      0.00     0.62      0.0     0.2    0.0  38.9
              ex_gen                   0     192      0.00     0.61      0.0     0.2    0.0  99.5
          calc_df1                     0      96      0.00     6.16      0.0     2.1    0.0  27.1
            ex_v                       0      96      0.00     2.58      0.0     0.9    0.0  42.0
              ex_gen                   0     180      0.00     2.58      0.0     0.9    0.0 100.0
            exz                        0     180      0.00     1.99      0.0     0.7    0.0  32.3
