tag,nodes,box,par,nmpi,ngpu_per_node,ts_total,ts_rhs,ts_aux,ts_other
cuth-pop-20200624-ht,8,s2 v48 w32 x280 y32 z24,s1 v2 w8 x1 y1 z3,48,6,0.20676842105263157,0.12357894736842104,0.07210526315789474,0.011084210526315794
cuth-pop-20200624-ht,16,s2 v48 w32 x560 y32 z24,s2 v2 w8 x1 y1 z3,96,6,0.24106315789473684,0.127,0.10313684210526314,0.0109263157894737
cuth-pop-20200624-ht,32,s2 v96 w32 x560 y32 z24,s2 v4 w8 x1 y1 z3,192,6,0.2660526315789474,0.13214736842105265,0.1229157894736842,0.010989473684210521
cuth-pop-20200624-ht,64,s2 v96 w64 x560 y32 z24,s2 v4 w16 x1 y1 z3,384,6,0.27706315789473684,0.13446315789473684,0.13161052631578948,0.010989473684210521
cuth-pop-20200624-ht,128,s2 v96 w64 x1120 y32 z24,s2 v4 w32 x1 y1 z3,768,6,0.4172105263157894,0.1375684210526316,0.26849473684210523,0.011147368421052573
cuth-pop-20200624-ht,256,s2 v96 w64 x1120 y32 z48,s2 v4 w32 x1 y1 z6,1536,6,0.4908947368421052,0.1335578947368421,0.3460631578947368,0.011273684210526325
cuth-pop-20200624-ht2,512,s2 v96 w128 x1120 y32 z48,s2 v4 w64 x1 y1 z6,3072,6,0.45265263157894736,0.1352631578947368,0.3063157894736842,0.011073684210526347
master-202006pop-ht,8,s2 v48 w32 x280 y32 z24,s1 v2 w8 x7 y1 z3,336,0,2.3962315789473685,1.6312,0.6258315789473684,0.1392000000000001
master-202006pop-ht,16,s2 v48 w32 x560 y32 z24,s2 v2 w8 x7 y1 z3,672,0,2.451757894736842,1.6270947368421054,0.6908210526315789,0.13384210526315787
master-202006pop-ht,64,s2 v96 w64 x560 y32 z24,s2 v4 w16 x7 y1 z3,2688,0,2.5337052631578945,1.6807684210526315,0.7232631578947367,0.12967368421052627
master-202006pop-ht,128,s2 v96 w64 x1120 y32 z24,s2 v4 w32 x7 y1 z3,5376,0,2.6583263157894734,1.6857368421052632,0.8486421052631579,0.12394736842105236
master-202006pop-ht,256,s2 v96 w64 x1120 y32 z48,s2 v4 w32 x7 y1 z6,10752,0,2.7461894736842103,1.7067368421052629,0.9049052631578947,0.13454736842105275
master-202006pop-ht2,32,s2 v96 w32 x560 y32 z24,s2 v4 w8 x7 y1 z3,1344,0,2.518242105263158,1.6806947368421052,0.7024421052631579,0.13510526315789495
master-202006pop-ht2,512,s2 v96 w128 x1120 y32 z48,s2 v4 w64 x7 y1 z6,21504,0,2.7856315789473682,1.7419263157894738,0.9095894736842105,0.13411578947368397
