"ID","Process ID","Process Name","Host Name","Kernel Name","Kernel Time","Context","Stream","Section Name","Metric Name","Metric Unit","Metric Value"
"0","127607","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","ij_deriv_kernel(int, int, int, thrust::complex<double> const*, int, double const*, thrust::complex<double> const*, thrust::complex<double>*)","2020-Aug-28 10:25:37","1","7","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","182,566,224.47"
"0","127607","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","ij_deriv_kernel(int, int, int, thrust::complex<double> const*, int, double const*, thrust::complex<double> const*, thrust::complex<double>*)","2020-Aug-28 10:25:37","1","7","Command line profiler metrics","sm__cycles_elapsed.avg.per_second","cycle/second","1,311,940,392.53"
"0","127607","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","ij_deriv_kernel(int, int, int, thrust::complex<double> const*, int, double const*, thrust::complex<double> const*, thrust::complex<double>*)","2020-Aug-28 10:25:37","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dadd_pred_on.sum","inst","0"
"0","127607","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","ij_deriv_kernel(int, int, int, thrust::complex<double> const*, int, double const*, thrust::complex<double> const*, thrust::complex<double>*)","2020-Aug-28 10:25:37","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dfma_pred_on.sum","inst","137,625,600"
"0","127607","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","ij_deriv_kernel(int, int, int, thrust::complex<double> const*, int, double const*, thrust::complex<double> const*, thrust::complex<double>*)","2020-Aug-28 10:25:37","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dmul_pred_on.sum","inst","55,050,240"
"1","127607","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","add_i_col_times_ij_block_kernel(int, int, int, int, double*, double*, thrust::complex<double>*, thrust::complex<double>*)","2020-Aug-28 10:25:58","1","7","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","191,834,099.47"
"1","127607","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","add_i_col_times_ij_block_kernel(int, int, int, int, double*, double*, thrust::complex<double>*, thrust::complex<double>*)","2020-Aug-28 10:25:58","1","7","Command line profiler metrics","sm__cycles_elapsed.avg.per_second","cycle/second","1,312,075,870.43"
"1","127607","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","add_i_col_times_ij_block_kernel(int, int, int, int, double*, double*, thrust::complex<double>*, thrust::complex<double>*)","2020-Aug-28 10:25:58","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dadd_pred_on.sum","inst","27,525,120"
"1","127607","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","add_i_col_times_ij_block_kernel(int, int, int, int, double*, double*, thrust::complex<double>*, thrust::complex<double>*)","2020-Aug-28 10:25:58","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dfma_pred_on.sum","inst","27,525,120"
"1","127607","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","add_i_col_times_ij_block_kernel(int, int, int, int, double*, double*, thrust::complex<double>*, thrust::complex<double>*)","2020-Aug-28 10:25:58","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dmul_pred_on.sum","inst","27,525,120"
"2","127607","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","ij_deriv_kernel(int, int, int, thrust::complex<double> const*, int, double const*, thrust::complex<double> const*, thrust::complex<double>*)","2020-Aug-28 10:26:31","1","7","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","181,668,616.35"
"2","127607","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","ij_deriv_kernel(int, int, int, thrust::complex<double> const*, int, double const*, thrust::complex<double> const*, thrust::complex<double>*)","2020-Aug-28 10:26:31","1","7","Command line profiler metrics","sm__cycles_elapsed.avg.per_second","cycle/second","1,308,560,877.98"
"2","127607","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","ij_deriv_kernel(int, int, int, thrust::complex<double> const*, int, double const*, thrust::complex<double> const*, thrust::complex<double>*)","2020-Aug-28 10:26:31","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dadd_pred_on.sum","inst","0"
"2","127607","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","ij_deriv_kernel(int, int, int, thrust::complex<double> const*, int, double const*, thrust::complex<double> const*, thrust::complex<double>*)","2020-Aug-28 10:26:31","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dfma_pred_on.sum","inst","137,625,600"
"2","127607","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","ij_deriv_kernel(int, int, int, thrust::complex<double> const*, int, double const*, thrust::complex<double> const*, thrust::complex<double>*)","2020-Aug-28 10:26:31","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dmul_pred_on.sum","inst","55,050,240"
"3","127607","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","add_i_col_times_ij_block_kernel(int, int, int, int, double*, double*, thrust::complex<double>*, thrust::complex<double>*)","2020-Aug-28 10:27:24","1","7","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","190,098,581.10"
"3","127607","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","add_i_col_times_ij_block_kernel(int, int, int, int, double*, double*, thrust::complex<double>*, thrust::complex<double>*)","2020-Aug-28 10:27:24","1","7","Command line profiler metrics","sm__cycles_elapsed.avg.per_second","cycle/second","1,312,100,438.62"
"3","127607","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","add_i_col_times_ij_block_kernel(int, int, int, int, double*, double*, thrust::complex<double>*, thrust::complex<double>*)","2020-Aug-28 10:27:24","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dadd_pred_on.sum","inst","27,525,120"
"3","127607","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","add_i_col_times_ij_block_kernel(int, int, int, int, double*, double*, thrust::complex<double>*, thrust::complex<double>*)","2020-Aug-28 10:27:24","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dfma_pred_on.sum","inst","27,525,120"
"3","127607","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","add_i_col_times_ij_block_kernel(int, int, int, int, double*, double*, thrust::complex<double>*, thrust::complex<double>*)","2020-Aug-28 10:27:24","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dmul_pred_on.sum","inst","27,525,120"
"4","127607","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","ij_deriv_kernel(int, int, int, thrust::complex<double> const*, int, double const*, thrust::complex<double> const*, thrust::complex<double>*)","2020-Aug-28 10:29:00","1","7","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","182,917,594.38"
"4","127607","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","ij_deriv_kernel(int, int, int, thrust::complex<double> const*, int, double const*, thrust::complex<double> const*, thrust::complex<double>*)","2020-Aug-28 10:29:00","1","7","Command line profiler metrics","sm__cycles_elapsed.avg.per_second","cycle/second","1,312,101,661.41"
"4","127607","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","ij_deriv_kernel(int, int, int, thrust::complex<double> const*, int, double const*, thrust::complex<double> const*, thrust::complex<double>*)","2020-Aug-28 10:29:00","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dadd_pred_on.sum","inst","0"
"4","127607","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","ij_deriv_kernel(int, int, int, thrust::complex<double> const*, int, double const*, thrust::complex<double> const*, thrust::complex<double>*)","2020-Aug-28 10:29:00","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dfma_pred_on.sum","inst","137,625,600"
"4","127607","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","ij_deriv_kernel(int, int, int, thrust::complex<double> const*, int, double const*, thrust::complex<double> const*, thrust::complex<double>*)","2020-Aug-28 10:29:00","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dmul_pred_on.sum","inst","55,050,240"
"5","127607","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","add_i_col_times_ij_block_kernel(int, int, int, int, double*, double*, thrust::complex<double>*, thrust::complex<double>*)","2020-Aug-28 10:30:13","1","7","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","191,609,227.40"
"5","127607","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","add_i_col_times_ij_block_kernel(int, int, int, int, double*, double*, thrust::complex<double>*, thrust::complex<double>*)","2020-Aug-28 10:30:13","1","7","Command line profiler metrics","sm__cycles_elapsed.avg.per_second","cycle/second","1,312,181,731.81"
"5","127607","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","add_i_col_times_ij_block_kernel(int, int, int, int, double*, double*, thrust::complex<double>*, thrust::complex<double>*)","2020-Aug-28 10:30:13","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dadd_pred_on.sum","inst","27,525,120"
"5","127607","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","add_i_col_times_ij_block_kernel(int, int, int, int, double*, double*, thrust::complex<double>*, thrust::complex<double>*)","2020-Aug-28 10:30:13","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dfma_pred_on.sum","inst","27,525,120"
"5","127607","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","add_i_col_times_ij_block_kernel(int, int, int, int, double*, double*, thrust::complex<double>*, thrust::complex<double>*)","2020-Aug-28 10:30:13","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dmul_pred_on.sum","inst","27,525,120"
