Task 0 ( 0/3072, 0/6 ) is bound to cpu[s] 0 on host e07n11 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1 ( 1/3072, 1/6 ) is bound to cpu[s] 4 on host e07n11 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 10 ( 10/3072, 4/6 ) is bound to cpu[s] 92 on host e07n12 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 100 ( 100/3072, 4/6 ) is bound to cpu[s] 92 on host e08n09 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1000 ( 1000/3072, 4/6 ) is bound to cpu[s] 92 on host e27n15 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1001 ( 1001/3072, 5/6 ) is bound to cpu[s] 96 on host e27n15 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1002 ( 1002/3072, 0/6 ) is bound to cpu[s] 0 on host e27n16 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1003 ( 1003/3072, 1/6 ) is bound to cpu[s] 4 on host e27n16 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1004 ( 1004/3072, 2/6 ) is bound to cpu[s] 8 on host e27n16 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1005 ( 1005/3072, 3/6 ) is bound to cpu[s] 88 on host e27n16 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1006 ( 1006/3072, 4/6 ) is bound to cpu[s] 92 on host e27n16 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1007 ( 1007/3072, 5/6 ) is bound to cpu[s] 96 on host e27n16 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1008 ( 1008/3072, 0/6 ) is bound to cpu[s] 0 on host e27n17 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
