Task 0 ( 0/384, 0/6 ) is bound to cpu[s] 0 on host b31n05 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1 ( 1/384, 1/6 ) is bound to cpu[s] 4 on host b31n05 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 10 ( 10/384, 4/6 ) is bound to cpu[s] 92 on host b33n01 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 100 ( 100/384, 4/6 ) is bound to cpu[s] 92 on host c08n12 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 101 ( 101/384, 5/6 ) is bound to cpu[s] 96 on host c08n12 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 102 ( 102/384, 0/6 ) is bound to cpu[s] 0 on host c08n13 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 103 ( 103/384, 1/6 ) is bound to cpu[s] 4 on host c08n13 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 104 ( 104/384, 2/6 ) is bound to cpu[s] 8 on host c08n13 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 105 ( 105/384, 3/6 ) is bound to cpu[s] 88 on host c08n13 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 106 ( 106/384, 4/6 ) is bound to cpu[s] 92 on host c08n13 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 107 ( 107/384, 5/6 ) is bound to cpu[s] 96 on host c08n13 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
