"ID","Process ID","Process Name","Host Name","Kernel Name","Kernel Time","Context","Stream","Section Name","Metric Name","Metric Unit","Metric Value"
"0","127603","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","ij_deriv_kernel(int, int, int, thrust::complex<double> const*, int, double const*, thrust::complex<double> const*, thrust::complex<double>*)","2020-Aug-28 10:24:11","1","7","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","187,406,416.70"
"0","127603","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","ij_deriv_kernel(int, int, int, thrust::complex<double> const*, int, double const*, thrust::complex<double> const*, thrust::complex<double>*)","2020-Aug-28 10:24:11","1","7","Command line profiler metrics","sm__cycles_elapsed.avg.per_second","cycle/second","1,312,074,372.47"
"0","127603","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","ij_deriv_kernel(int, int, int, thrust::complex<double> const*, int, double const*, thrust::complex<double> const*, thrust::complex<double>*)","2020-Aug-28 10:24:11","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dadd_pred_on.sum","inst","0"
"0","127603","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","ij_deriv_kernel(int, int, int, thrust::complex<double> const*, int, double const*, thrust::complex<double> const*, thrust::complex<double>*)","2020-Aug-28 10:24:11","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dfma_pred_on.sum","inst","137,625,600"
"0","127603","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","ij_deriv_kernel(int, int, int, thrust::complex<double> const*, int, double const*, thrust::complex<double> const*, thrust::complex<double>*)","2020-Aug-28 10:24:11","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dmul_pred_on.sum","inst","55,050,240"
"1","127603","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","add_i_col_times_ij_block_kernel(int, int, int, int, double*, double*, thrust::complex<double>*, thrust::complex<double>*)","2020-Aug-28 10:25:05","1","7","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","196,405,254.05"
"1","127603","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","add_i_col_times_ij_block_kernel(int, int, int, int, double*, double*, thrust::complex<double>*, thrust::complex<double>*)","2020-Aug-28 10:25:05","1","7","Command line profiler metrics","sm__cycles_elapsed.avg.per_second","cycle/second","1,312,064,144.82"
"1","127603","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","add_i_col_times_ij_block_kernel(int, int, int, int, double*, double*, thrust::complex<double>*, thrust::complex<double>*)","2020-Aug-28 10:25:05","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dadd_pred_on.sum","inst","27,525,120"
"1","127603","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","add_i_col_times_ij_block_kernel(int, int, int, int, double*, double*, thrust::complex<double>*, thrust::complex<double>*)","2020-Aug-28 10:25:05","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dfma_pred_on.sum","inst","27,525,120"
"1","127603","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","add_i_col_times_ij_block_kernel(int, int, int, int, double*, double*, thrust::complex<double>*, thrust::complex<double>*)","2020-Aug-28 10:25:05","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dmul_pred_on.sum","inst","27,525,120"
"2","127603","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","ij_deriv_kernel(int, int, int, thrust::complex<double> const*, int, double const*, thrust::complex<double> const*, thrust::complex<double>*)","2020-Aug-28 10:26:42","1","7","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","186,311,403.53"
"2","127603","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","ij_deriv_kernel(int, int, int, thrust::complex<double> const*, int, double const*, thrust::complex<double> const*, thrust::complex<double>*)","2020-Aug-28 10:26:42","1","7","Command line profiler metrics","sm__cycles_elapsed.avg.per_second","cycle/second","1,311,986,501.22"
"2","127603","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","ij_deriv_kernel(int, int, int, thrust::complex<double> const*, int, double const*, thrust::complex<double> const*, thrust::complex<double>*)","2020-Aug-28 10:26:42","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dadd_pred_on.sum","inst","0"
"2","127603","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","ij_deriv_kernel(int, int, int, thrust::complex<double> const*, int, double const*, thrust::complex<double> const*, thrust::complex<double>*)","2020-Aug-28 10:26:42","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dfma_pred_on.sum","inst","137,625,600"
"2","127603","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","ij_deriv_kernel(int, int, int, thrust::complex<double> const*, int, double const*, thrust::complex<double> const*, thrust::complex<double>*)","2020-Aug-28 10:26:42","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dmul_pred_on.sum","inst","55,050,240"
"3","127603","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","add_i_col_times_ij_block_kernel(int, int, int, int, double*, double*, thrust::complex<double>*, thrust::complex<double>*)","2020-Aug-28 10:27:35","1","7","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","195,941,617.72"
"3","127603","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","add_i_col_times_ij_block_kernel(int, int, int, int, double*, double*, thrust::complex<double>*, thrust::complex<double>*)","2020-Aug-28 10:27:35","1","7","Command line profiler metrics","sm__cycles_elapsed.avg.per_second","cycle/second","1,312,097,988.15"
"3","127603","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","add_i_col_times_ij_block_kernel(int, int, int, int, double*, double*, thrust::complex<double>*, thrust::complex<double>*)","2020-Aug-28 10:27:35","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dadd_pred_on.sum","inst","27,525,120"
"3","127603","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","add_i_col_times_ij_block_kernel(int, int, int, int, double*, double*, thrust::complex<double>*, thrust::complex<double>*)","2020-Aug-28 10:27:35","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dfma_pred_on.sum","inst","27,525,120"
"3","127603","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","add_i_col_times_ij_block_kernel(int, int, int, int, double*, double*, thrust::complex<double>*, thrust::complex<double>*)","2020-Aug-28 10:27:35","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dmul_pred_on.sum","inst","27,525,120"
"4","127603","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","ij_deriv_kernel(int, int, int, thrust::complex<double> const*, int, double const*, thrust::complex<double> const*, thrust::complex<double>*)","2020-Aug-28 10:29:10","1","7","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","184,980,101.68"
"4","127603","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","ij_deriv_kernel(int, int, int, thrust::complex<double> const*, int, double const*, thrust::complex<double> const*, thrust::complex<double>*)","2020-Aug-28 10:29:10","1","7","Command line profiler metrics","sm__cycles_elapsed.avg.per_second","cycle/second","1,312,082,965.78"
"4","127603","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","ij_deriv_kernel(int, int, int, thrust::complex<double> const*, int, double const*, thrust::complex<double> const*, thrust::complex<double>*)","2020-Aug-28 10:29:10","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dadd_pred_on.sum","inst","0"
"4","127603","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","ij_deriv_kernel(int, int, int, thrust::complex<double> const*, int, double const*, thrust::complex<double> const*, thrust::complex<double>*)","2020-Aug-28 10:29:10","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dfma_pred_on.sum","inst","137,625,600"
"4","127603","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","ij_deriv_kernel(int, int, int, thrust::complex<double> const*, int, double const*, thrust::complex<double> const*, thrust::complex<double>*)","2020-Aug-28 10:29:10","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dmul_pred_on.sum","inst","55,050,240"
"5","127603","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","add_i_col_times_ij_block_kernel(int, int, int, int, double*, double*, thrust::complex<double>*, thrust::complex<double>*)","2020-Aug-28 10:30:02","1","7","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","196,528,403.95"
"5","127603","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","add_i_col_times_ij_block_kernel(int, int, int, int, double*, double*, thrust::complex<double>*, thrust::complex<double>*)","2020-Aug-28 10:30:02","1","7","Command line profiler metrics","sm__cycles_elapsed.avg.per_second","cycle/second","1,312,035,305.87"
"5","127603","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","add_i_col_times_ij_block_kernel(int, int, int, int, double*, double*, thrust::complex<double>*, thrust::complex<double>*)","2020-Aug-28 10:30:02","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dadd_pred_on.sum","inst","27,525,120"
"5","127603","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","add_i_col_times_ij_block_kernel(int, int, int, int, double*, double*, thrust::complex<double>*, thrust::complex<double>*)","2020-Aug-28 10:30:02","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dfma_pred_on.sum","inst","27,525,120"
"5","127603","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","add_i_col_times_ij_block_kernel(int, int, int, int, double*, double*, thrust::complex<double>*, thrust::complex<double>*)","2020-Aug-28 10:30:02","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dmul_pred_on.sum","inst","27,525,120"
"6","127603","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","ij_deriv_kernel(int, int, int, thrust::complex<double> const*, int, double const*, thrust::complex<double> const*, thrust::complex<double>*)","2020-Aug-28 10:31:18","1","7","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","185,449,074.78"
"6","127603","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","ij_deriv_kernel(int, int, int, thrust::complex<double> const*, int, double const*, thrust::complex<double> const*, thrust::complex<double>*)","2020-Aug-28 10:31:18","1","7","Command line profiler metrics","sm__cycles_elapsed.avg.per_second","cycle/second","1,312,015,409.87"
"6","127603","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","ij_deriv_kernel(int, int, int, thrust::complex<double> const*, int, double const*, thrust::complex<double> const*, thrust::complex<double>*)","2020-Aug-28 10:31:18","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dadd_pred_on.sum","inst","0"
"6","127603","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","ij_deriv_kernel(int, int, int, thrust::complex<double> const*, int, double const*, thrust::complex<double> const*, thrust::complex<double>*)","2020-Aug-28 10:31:18","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dfma_pred_on.sum","inst","137,625,600"
"6","127603","gene_gnu_cmake_cuth-pop-202006-nvroof_gpu_cuth-pop-20200826-nvroof","127.0.0.1","ij_deriv_kernel(int, int, int, thrust::complex<double> const*, int, double const*, thrust::complex<double> const*, thrust::complex<double>*)","2020-Aug-28 10:31:18","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dmul_pred_on.sum","inst","55,050,240"
