Task 0 ( 0/768, 0/6 ) is bound to cpu[s] 0 on host a13n06 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1 ( 1/768, 1/6 ) is bound to cpu[s] 4 on host a13n06 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 10 ( 10/768, 4/6 ) is bound to cpu[s] 92 on host a13n07 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 100 ( 100/768, 4/6 ) is bound to cpu[s] 92 on host a14n04 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 101 ( 101/768, 5/6 ) is bound to cpu[s] 96 on host a14n04 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 102 ( 102/768, 0/6 ) is bound to cpu[s] 0 on host a14n05 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 103 ( 103/768, 1/6 ) is bound to cpu[s] 4 on host a14n05 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 104 ( 104/768, 2/6 ) is bound to cpu[s] 8 on host a14n05 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 105 ( 105/768, 3/6 ) is bound to cpu[s] 88 on host a14n05 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 106 ( 106/768, 4/6 ) is bound to cpu[s] 92 on host a14n05 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 107 ( 107/768, 5/6 ) is bound to cpu[s] 96 on host a14n05 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 108 ( 108/768, 0/6 ) is bound to cpu[s] 0 on host a14n06 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 109 ( 109/768, 1/6 ) is bound to cpu[s] 4 on host a14n06 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 11 ( 11/768, 5/6 ) is bound to cpu[s] 96 on host a13n07 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 110 ( 110/768, 2/6 ) is bound to cpu[s] 8 on host a14n06 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 111 ( 111/768, 3/6 ) is bound to cpu[s] 88 on host a14n06 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 112 ( 112/768, 4/6 ) is bound to cpu[s] 92 on host a14n06 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 113 ( 113/768, 5/6 ) is bound to cpu[s] 96 on host a14n06 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 114 ( 114/768, 0/6 ) is bound to cpu[s] 0 on host a14n07 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 115 ( 115/768, 1/6 ) is bound to cpu[s] 4 on host a14n07 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 116 ( 116/768, 2/6 ) is bound to cpu[s] 8 on host a14n07 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 117 ( 117/768, 3/6 ) is bound to cpu[s] 88 on host a14n07 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 118 ( 118/768, 4/6 ) is bound to cpu[s] 92 on host a14n07 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 119 ( 119/768, 5/6 ) is bound to cpu[s] 96 on host a14n07 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 12 ( 12/768, 0/6 ) is bound to cpu[s] 0 on host a13n08 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 120 ( 120/768, 0/6 ) is bound to cpu[s] 0 on host a14n08 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 121 ( 121/768, 1/6 ) is bound to cpu[s] 4 on host a14n08 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 122 ( 122/768, 2/6 ) is bound to cpu[s] 8 on host a14n08 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 123 ( 123/768, 3/6 ) is bound to cpu[s] 88 on host a14n08 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 124 ( 124/768, 4/6 ) is bound to cpu[s] 92 on host a14n08 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 125 ( 125/768, 5/6 ) is bound to cpu[s] 96 on host a14n08 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 126 ( 126/768, 0/6 ) is bound to cpu[s] 0 on host a14n09 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 127 ( 127/768, 1/6 ) is bound to cpu[s] 4 on host a14n09 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 128 ( 128/768, 2/6 ) is bound to cpu[s] 8 on host a14n09 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 129 ( 129/768, 3/6 ) is bound to cpu[s] 88 on host a14n09 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 13 ( 13/768, 1/6 ) is bound to cpu[s] 4 on host a13n08 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 130 ( 130/768, 4/6 ) is bound to cpu[s] 92 on host a14n09 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 131 ( 131/768, 5/6 ) is bound to cpu[s] 96 on host a14n09 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 132 ( 132/768, 0/6 ) is bound to cpu[s] 0 on host a14n11 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 133 ( 133/768, 1/6 ) is bound to cpu[s] 4 on host a14n11 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 134 ( 134/768, 2/6 ) is bound to cpu[s] 8 on host a14n11 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 135 ( 135/768, 3/6 ) is bound to cpu[s] 88 on host a14n11 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 136 ( 136/768, 4/6 ) is bound to cpu[s] 92 on host a14n11 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 137 ( 137/768, 5/6 ) is bound to cpu[s] 96 on host a14n11 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 138 ( 138/768, 0/6 ) is bound to cpu[s] 0 on host a14n12 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 139 ( 139/768, 1/6 ) is bound to cpu[s] 4 on host a14n12 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 14 ( 14/768, 2/6 ) is bound to cpu[s] 8 on host a13n08 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 140 ( 140/768, 2/6 ) is bound to cpu[s] 8 on host a14n12 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 141 ( 141/768, 3/6 ) is bound to cpu[s] 88 on host a14n12 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 142 ( 142/768, 4/6 ) is bound to cpu[s] 92 on host a14n12 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 143 ( 143/768, 5/6 ) is bound to cpu[s] 96 on host a14n12 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 144 ( 144/768, 0/6 ) is bound to cpu[s] 0 on host a14n13 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 145 ( 145/768, 1/6 ) is bound to cpu[s] 4 on host a14n13 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 146 ( 146/768, 2/6 ) is bound to cpu[s] 8 on host a14n13 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 147 ( 147/768, 3/6 ) is bound to cpu[s] 88 on host a14n13 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 148 ( 148/768, 4/6 ) is bound to cpu[s] 92 on host a14n13 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 149 ( 149/768, 5/6 ) is bound to cpu[s] 96 on host a14n13 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 15 ( 15/768, 3/6 ) is bound to cpu[s] 88 on host a13n08 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 150 ( 150/768, 0/6 ) is bound to cpu[s] 0 on host a14n14 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 151 ( 151/768, 1/6 ) is bound to cpu[s] 4 on host a14n14 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 152 ( 152/768, 2/6 ) is bound to cpu[s] 8 on host a14n14 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 153 ( 153/768, 3/6 ) is bound to cpu[s] 88 on host a14n14 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 154 ( 154/768, 4/6 ) is bound to cpu[s] 92 on host a14n14 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 155 ( 155/768, 5/6 ) is bound to cpu[s] 96 on host a14n14 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 156 ( 156/768, 0/6 ) is bound to cpu[s] 0 on host a14n15 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 157 ( 157/768, 1/6 ) is bound to cpu[s] 4 on host a14n15 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 158 ( 158/768, 2/6 ) is bound to cpu[s] 8 on host a14n15 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 159 ( 159/768, 3/6 ) is bound to cpu[s] 88 on host a14n15 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 16 ( 16/768, 4/6 ) is bound to cpu[s] 92 on host a13n08 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 160 ( 160/768, 4/6 ) is bound to cpu[s] 92 on host a14n15 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
